,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%,Cluster
94,Connor Corcoran,D,WSR,16.107,59,5,2,3,7,10,53,9.43,0.08,0.03,0.05,0.12,0.17,0.9,3.06,0.05,2,3,66.67,1,3,33.33,2,47,4.26,27,57,47.37,2
95,Lucas Chiodo,LW,BAR,16.874,50,1,4,5,5,10,41,2.44,0.02,0.08,0.1,0.1,0.2,0.82,5.07,0.1,0,12,0,1,11,9.09,0,18,0,4,12,33.33,2
96,Aidan Brown,RW,BAR,16.98,61,4,4,2,8,10,65,6.15,0.07,0.07,0.03,0.13,0.16,1.07,5.48,0.09,2,5,40,1,14,7.14,1,46,2.17,1,2,50,2
97,Robbie Burt,RW,KGN/OSH,16.299,56,4,5,1,9,10,64,6.25,0.07,0.09,0.02,0.16,0.18,1.14,6.2,0.11,2,9,22.22,0,6,0,2,49,4.08,4,10,40,2
98,Nick Grima,D,PBO,16.526,45,2,2,6,4,10,35,5.71,0.04,0.04,0.13,0.09,0.22,0.78,1.3,0.03,0,0,0,0,2,0,2,33,6.06,0,0,0,2
99,Brady Lyle,D,NB,16.277,44,1,3,6,4,10,55,1.82,0.02,0.07,0.14,0.09,0.23,1.25,3.38,0.08,0,1,0,0,0,0,1,54,1.85,0,0,0,2
100,Duncan Penman,D,SAG,16.197,55,4,3,3,7,10,42,9.52,0.07,0.05,0.05,0.13,0.18,0.76,1.41,0.03,0,0,0,0,1,0,4,41,9.76,0,1,0,2
101,Keegan Stevenson,C,GUE,16.707,61,5,3,2,8,10,30,16.67,0.08,0.05,0.03,0.13,0.16,0.49,3.68,0.06,2,7,28.57,1,5,20,2,18,11.11,3,14,21.43,2
102,Brayden Guy,LW,SAR,16.537,42,8,1,0,9,9,39,20.51,0.19,0.02,0,0.21,0.21,0.93,4.55,0.11,3,11,27.27,1,6,16.67,4,22,18.18,0,2,0,2
103,Jack York,D,KIT,16.994,57,3,2,4,5,9,34,8.82,0.05,0.04,0.07,0.09,0.16,0.6,1.42,0.02,0,2,0,0,0,0,3,32,9.38,0,0,0,2
104,Liam Ross,D,SBY,16.343,60,4,2,3,6,9,40,10,0.07,0.03,0.05,0.1,0.15,0.67,1.5,0.03,0,0,0,0,2,0,4,38,10.53,0,0,0,2
105,Andrew Perrott,D,LDN,16.061,62,4,3,2,7,9,67,5.97,0.06,0.05,0.03,0.11,0.15,1.08,2.39,0.04,0,1,0,0,0,0,4,66,6.06,0,0,0,2
106,Curtis Douglas,C,BAR,16.529,53,4,2,3,6,9,46,8.7,0.08,0.04,0.06,0.11,0.17,0.87,5.01,0.09,1,11,9.09,1,5,20,2,30,6.67,137,296,46.28,2
107,Carter Robertson,D,OTT,16.668,44,1,4,4,5,9,39,2.56,0.02,0.09,0.09,0.11,0.2,0.89,2.02,0.05,0,1,0,0,2,0,1,36,2.78,0,0,0,2
108,Barret Kirwin,C,GUE,16.575,55,5,1,3,6,9,49,10.2,0.09,0.02,0.05,0.11,0.16,0.89,5.7,0.1,1,11,9.09,1,9,11.11,3,29,10.34,246,479,51.36,2
109,Ben Jones,C,NIAG,16.551,61,5,2,2,7,9,52,9.62,0.08,0.03,0.03,0.11,0.15,0.85,3.69,0.06,2,7,28.57,2,5,40,1,40,2.5,131,303,43.23,2
110,Kyle MacLean,C,OSH,16.381,47,4,5,0,9,9,27,14.81,0.09,0.11,0,0.19,0.19,0.57,2.53,0.05,1,4,25,0,4,0,3,19,15.79,23,39,58.97,2
111,Sullivan Sparkes,C,OSH,16.367,51,2,4,3,6,9,43,4.65,0.04,0.08,0.06,0.12,0.18,0.84,4.41,0.09,1,6,16.67,1,5,20,0,32,0,2,5,40,3
112,Michael Little,LW,MISS,16.567,48,1,4,3,5,8,32,3.12,0.02,0.08,0.06,0.1,0.17,0.67,2.72,0.06,0,1,0,0,7,0,1,24,4.17,73,143,51.05,3
113,Samuel Duchesne,D,FLNT,16.299,53,1,5,2,6,8,40,2.5,0.02,0.09,0.04,0.11,0.15,0.75,1.15,0.02,0,1,0,0,0,0,1,39,2.56,0,0,0,3
114,Mitchell Brewer,D,OSH,16.49,60,2,3,3,5,8,27,7.41,0.03,0.05,0.05,0.08,0.13,0.45,1.34,0.02,1,1,100,0,3,0,1,23,4.35,0,1,0,3
115,Mitchell Russell,C,OS,16.529,59,3,3,1,6,7,51,5.88,0.05,0.05,0.02,0.1,0.12,0.86,5.23,0.09,1,9,11.11,0,8,0,2,34,5.88,149,382,39.01,3
116,Adam Varga,RW,MISS,16.274,46,1,5,1,6,7,25,4,0.02,0.11,0.02,0.13,0.15,0.54,2.61,0.06,1,6,16.67,0,1,0,0,18,0,0,1,0,3
117,Ben Garagan,C,SBY,16.69,60,2,2,3,4,7,59,3.39,0.03,0.03,0.05,0.07,0.12,0.98,6.15,0.1,2,8,25,0,14,0,0,37,0,158,376,42.02,3
118,Justin MacPherson,D,NIAG,16.23,40,1,1,5,2,7,22,4.55,0.03,0.03,0.12,0.05,0.17,0.55,1.27,0.03,1,1,100,0,1,0,0,20,0,0,1,0,3
119,Rhys Forhan,C,NB,16.663,44,2,3,1,5,6,24,8.33,0.05,0.07,0.02,0.11,0.14,0.55,2.24,0.05,1,6,16.67,0,3,0,1,15,6.67,20,50,40,3
