,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
327,Tyler Graovac,C,OTT,16.386,52,2,5,2,7,9,0.04,0.1,0.04,0.13,0.17
328,Brian  Birkhoff,LD,PBO/OTT,18.319,50,1,5,3,6,9,0.02,0.1,0.06,0.12,0.18
329,David Mazurek,C,BAR,17.561,44,3,5,1,8,9,0.07,0.11,0.02,0.18,0.2
330,Stefan Noesen,LW,PLY,16.589,33,3,4,1,7,8,0.09,0.12,0.03,0.21,0.24
331,Mike Schwindt,D,NIAG,17.914,67,0,4,4,4,8,0.0,0.06,0.06,0.06,0.12
332,Chris  Van Laren,D,GUE/SBY,19.283,68,1,3,4,4,8,0.01,0.04,0.06,0.06,0.12
333,Mitch Fillman,RW,SAG,19.28,63,0,5,3,5,8,0.0,0.08,0.05,0.08,0.13
334,Mitchell Theoret,C,NIAG,16.271,53,2,3,3,5,8,0.04,0.06,0.06,0.09,0.15
335,Josh Bemis,D,PLY,18.867,61,3,2,3,5,8,0.05,0.03,0.05,0.08,0.13
336,Craig Moore,C,BRA,18.585,42,1,3,4,4,8,0.02,0.07,0.1,0.1,0.19
