,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
474,Ryan Wells,D,MISS,18.328,85,3,9,7,12,19,91,2.055,0.025,0.088,0.065,0.112,0.178,0.845,1.66,0.032,0,2,0.0,0,3,0.0,3,86,2.205,1,1,50.0
475,Cedric Schiemenz,C,KIT/WSR,18.044,74,4,10,5,14,19,63,5.935,0.05,0.15,0.09,0.2,0.29,0.86,3.505,0.09,1,10,5.555,2,9,25.0,1,44,3.125,103,240,54.17
476,Ryan O'Rourke,D,SSM,16.334,52,7,8,4,15,19,51,13.73,0.13,0.15,0.08,0.29,0.37,0.98,2.63,0.05,3,4,75.0,0,3,0.0,4,44,9.09,0,0,0.0
477,Nick Pryce,LW,OS,17.484,48,7,9,3,16,19,67,10.45,0.15,0.19,0.06,0.33,0.4,1.4,7.83,0.16,1,7,14.29,3,12,25.0,3,48,6.25,5,9,55.56
478,Donovan Sebrango,D,KIT,16.674,52,5,5,9,10,19,45,11.11,0.1,0.1,0.17,0.19,0.37,0.87,2.41,0.05,0,1,0.0,2,6,33.33,3,38,7.89,0,0,0.0
479,Brett Jacklin,RW,SSM,18.066,92,7,8,4,15,19,80,8.835,0.075,0.085,0.045,0.16,0.205,0.88,3.67,0.085,2,13,14.285,1,8,12.5,4,59,6.97,9,16,56.25
480,Lucas Peric,D,OTT,17.184,100,5,6,8,11,19,73,6.825,0.055,0.07,0.095,0.12,0.21,0.765,1.29,0.025,0,1,0.0,0,2,0.0,5,70,7.195,2,3,75.0
481,William Sirman,C/LW,WSR/OTT,18.368,68,6,9,4,15,19,75,4.11,0.045,0.07,0.03,0.115,0.145,1.055,3.185,0.075,0,7,0.0,2,9,11.11,4,59,3.51,224,465,24.085
482,Dylan Seitz,C,KIT,17.668,60,8,8,2,16,18,85,9.41,0.13,0.13,0.03,0.27,0.3,1.42,8.39,0.14,2,10,20.0,2,9,22.22,4,66,6.06,38,74,51.35
483,Brett Hargrave,C,NB,20.666,61,15,2,1,17,18,106,14.15,0.25,0.03,0.02,0.28,0.3,1.74,11.5,0.19,2,11,18.18,4,13,30.77,9,82,10.98,208,485,42.89
484,Luke Beamish,D,OS/ER,17.502,71,2,10,6,12,18,36,5.0,0.045,0.143,0.098,0.182,0.285,0.538,0.8,0.03,0,2,0.0,2,4,33.335,0,30,0.0,0,0,0.0
485,Jason Smith,C,MISS/BAR,19.387,67,6,7,5,13,18,87,6.9,0.09,0.1,0.07,0.19,0.27,1.3,9.67,0.14,1,10,10.0,1,15,6.67,4,62,6.45,306,601,50.92
486,Adam Varga,RW,MISS,16.774,99,5,12,1,17,18,106,4.47,0.05,0.12,0.01,0.17,0.18,1.035,4.2,0.085,1,15,8.335,1,9,6.25,3,82,2.345,2,5,25.0
