,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
303,Steven Spinner,F,OMA,18.752,56,22,13,7,35,42,131,16.79,0.39,0.23,0.12,0.62,0.75,2.34
304,Blais Richartz,LW,TC/OMA,17.48,112,19,16,7,35,42,207,9.552,0.162,0.19,0.055,0.352,0.408,1.695
305,Brian Bowen,F,DBQ/GB,18.818,56,16,19,7,35,42,154,10.39,0.29,0.34,0.12,0.62,0.75,2.75
306,Adam Dawe,RW,SF,18.659,56,23,10,9,33,42,120,19.17,0.41,0.18,0.16,0.59,0.75,2.14
307,Jake Slaker,F,BLM,19.215,57,21,12,9,33,42,163,12.88,0.37,0.21,0.16,0.58,0.74,2.86
308,Nick Master,F,TC,19.631,56,23,10,9,33,42,118,19.49,0.41,0.18,0.16,0.59,0.75,2.11
309,Scott Reedy,C,USA,16.95,54,19,12,11,31,42,106,19.535,0.375,0.19,0.19,0.565,0.76,1.945
310,Bobby Nardella,D,TC,18.399,56,10,14,18,24,42,107,9.35,0.18,0.25,0.32,0.43,0.75,1.91
311,Brandon Duhaime,LW,TC/CHI,18.317,57,15,12,15,27,42,126,11.9,0.26,0.21,0.26,0.47,0.74,2.21
312,Hayden Shaw,D,DBQ/WAT,18.278,46,6,16,20,22,42,118,5.08,0.13,0.35,0.43,0.48,0.91,2.57
313,Dan Labosky,LW,TC,20.313,52,15,18,9,33,42,159,9.43,0.29,0.35,0.17,0.63,0.81,3.06
314,Cole Hults,LD,MAD,17.568,122,6,16,20,22,42,126,3.06,0.05,0.125,0.188,0.175,0.363,1.05
315,Marc Johnstone,RW,CHI,19.74,116,15,17,10,32,42,163,9.45,0.13,0.145,0.09,0.275,0.36,1.405
316,Max Humitz,F,MUS/LIN/TC,19.69,111,19,12,11,31,42,253,7.48,0.17,0.11,0.1,0.28,0.375,2.285
317,Ryan Siedem,LD/D,USA/CIL,17.053,78,6,18,17,24,41,87,7.895,0.08,0.22,0.22,0.3,0.51,1.08
318,Christian Wolanin,D,MUS,19.499,56,14,12,15,26,41,186,7.53,0.25,0.21,0.27,0.46,0.73,3.32
319,Christian Evers,D,USA/LIN,18.56,132,15,9,17,24,41,186,7.845,0.105,0.075,0.112,0.182,0.298,1.365
320,Joe Widmar,F,DM,19.59,60,19,9,13,28,41,140,13.57,0.32,0.15,0.22,0.47,0.68,2.33
321,Ludwig Stenlund,C/F,MAD,20.417,61,17,18,6,35,41,113,7.725,0.14,0.15,0.05,0.29,0.34,2.415
322,Jack Doremus,C,SF/LIN,18.919,112,22,14,5,36,41,199,9.005,0.195,0.125,0.045,0.32,0.36,1.765
323,Alexandre Payusov,RW,SC/MAD,17.639,104,20,12,9,32,41,163,10.66,0.18,0.115,0.08,0.295,0.375,1.505
324,Mario Ferraro,LD,DM,17.996,60,8,17,16,25,41,105,7.62,0.13,0.28,0.27,0.42,0.68,1.75
325,Evan Barratt,LW,USA,17.074,61,16,20,5,36,41,144,11.745,0.275,0.35,0.085,0.625,0.705,2.35
326,Eero Teravainen,LD,LIN,18.025,96,6,14,21,20,41,164,3.73,0.065,0.13,0.195,0.19,0.385,1.65
327,Justin Cole,C,CR,19.874,102,20,15,6,35,41,155,12.96,0.195,0.145,0.06,0.345,0.395,1.565
328,Garrett Klee,C,MAD/WAT,18.681,160,18,13,9,31,40,267,5.978,0.108,0.085,0.058,0.19,0.248,1.655
329,Josh Nodler,RW,FGO/USA,16.886,45,17,15,8,32,40,74,11.805,0.205,0.185,0.1,0.39,0.49,1.13
330,Mitchell Fossier,LW,SC,18.733,60,11,18,11,29,40,161,6.83,0.18,0.3,0.18,0.48,0.67,2.68
331,Zac Robbins,C,CR,19.45,116,17,16,7,33,40,185,9.2,0.15,0.14,0.06,0.285,0.345,1.595
332,Jacob Semik,LD,DBQ,17.767,134,8,16,16,24,40,180,4.702,0.048,0.125,0.122,0.178,0.3,1.385
333,Mason Appleton,F,TC,18.667,54,12,19,9,31,40,97,12.37,0.22,0.35,0.17,0.57,0.74,1.8
334,Jacob Hamacher,LW,DBQ,19.406,59,14,13,13,27,40,90,15.56,0.24,0.22,0.22,0.46,0.68,1.53
335,Louie Rowe,F,OMA,20.499,60,18,13,9,31,40,122,14.75,0.3,0.22,0.15,0.52,0.67,2.03
336,Kristian Pospisil,C,SC,20.4,48,15,17,8,32,40,136,11.03,0.31,0.35,0.17,0.67,0.83,2.83
337,Yuri Terao,RW,WAT,20.381,45,18,14,8,32,40,120,15.0,0.4,0.31,0.18,0.71,0.89,2.67
338,Ryan Savage,C/F,FGO/USA/OMA/MUS,17.71,96,19,9,12,28,40,182,7.912,0.175,0.08,0.158,0.255,0.415,1.802
339,Jason Dhooghe,F,USA/GB,18.754,142,21,14,5,35,40,193,11.438,0.15,0.092,0.04,0.248,0.285,1.422
340,Vas Kolias,D,YNG,18.099,103,10,12,18,22,40,125,8.69,0.095,0.11,0.18,0.205,0.385,1.23
