,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
443,Sean Allen,D,OSH,18.904,102,1,4,6,5,11,51,2.0,0.01,0.04,0.06,0.05,0.11,0.5,0.985,0.02,1,3,16.665,0,0,0.0,0,48,0.0,0,0,0.0
444,Nikita Okhotyuk,D,OTT,16.781,53,5,1,5,6,11,58,8.62,0.09,0.02,0.09,0.11,0.21,1.09,2.49,0.05,0,1,0.0,2,2,100.0,3,55,5.45,1,1,100.0
445,Kyle Harris,C,FLNT,16.427,60,5,3,3,8,11,64,7.81,0.08,0.05,0.05,0.13,0.18,1.07,5.73,0.1,1,5,20.0,2,13,15.38,2,46,4.35,138,381,36.22
446,Joseph Mack,C,ER,17.692,51,6,2,3,8,11,53,11.32,0.12,0.04,0.06,0.16,0.22,1.04,5.51,0.11,2,5,40.0,1,9,11.11,3,39,7.69,95,251,37.85
447,Andrew Bruder,C,NIAG,17.082,52,4,3,4,7,11,44,9.09,0.08,0.06,0.08,0.13,0.21,0.85,4.71,0.09,2,4,50.0,1,10,10.0,1,30,3.33,70,140,50.0
448,Aidan Prueter,C,SAG,15.735,63,3,3,5,6,11,62,4.84,0.05,0.05,0.08,0.1,0.17,0.98,7.04,0.11,0,9,0.0,2,16,12.5,1,37,2.7,269,533,50.47
449,Tag Bertuzzi,C,GUE,16.573,41,3,7,1,10,11,31,9.68,0.07,0.17,0.02,0.24,0.27,0.76,3.88,0.09,0,7,0.0,1,9,11.11,2,15,13.33,1,10,10.0
450,Jackson Doherty,LW,OS,17.065,53,7,1,2,8,10,31,22.58,0.13,0.02,0.04,0.15,0.19,0.58,2.9,0.05,2,7,28.57,0,2,0.0,5,22,22.73,2,7,28.57
451,Jacob Ball,LW,NB,18.164,46,4,4,2,8,10,47,4.445,0.05,0.05,0.025,0.095,0.12,0.785,1.885,0.065,0,3,0.0,0,2,0.0,4,42,4.88,110,292,43.615
452,Jacob Collins,D,FLNT,18.906,122,5,4,1,9,10,154,3.115,0.045,0.035,0.01,0.075,0.08,1.26,6.16,0.1,1,7,16.665,1,18,5.0,3,129,2.175,199,420,41.965
453,Justin Pringle,LW,KGN,17.023,88,6,3,1,9,10,82,11.135,0.085,0.035,0.01,0.12,0.13,0.855,3.585,0.08,1,5,16.665,3,15,25.0,2,62,8.335,12,23,62.255
454,Jack Duff,D,ER,17.146,65,1,5,4,6,10,53,0.945,0.01,0.04,0.03,0.05,0.08,0.42,0.995,0.015,0,1,0.0,0,0,0.0,1,52,0.96,0,1,0.0
455,Tyler Nother,D,WSR,18.604,64,1,5,4,6,10,38,2.63,0.02,0.08,0.06,0.09,0.16,0.59,1.85,0.03,0,1,0.0,0,3,0.0,1,34,2.94,0,1,0.0
456,Owen Lane,LW,SBY,17.665,43,5,3,2,8,10,49,10.2,0.12,0.07,0.05,0.19,0.23,1.14,5.18,0.12,2,8,25.0,0,9,0.0,3,32,9.38,1,2,50.0
