,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
1263,Tyler Heinonen,LW,SJ,24.356,3,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.67
1264,Alex Wideman,RW,RFD,25.758,13,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1265,Christian Hilbrich,LW,CHI,25.186,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25
1266,Ondrej Kase,RW,SD,21.854,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1267,Mirco Mueller,D,BNG,22.489,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1268,Tommy Olczyk,LW,RFD,26.848,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269,Garrett Meurs,RW,MB,24.674,3,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1270,Sergey Zborovskiy,D,HFD,20.564,10,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
1271,Matt Petgrave,D,LAV/BEL/SYR,25.63,15,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.8
1272,Chris McCarthy,C,LV,26.131,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1273,Stephen MacAulay,C,SYR,25.405,3,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.67
1274,Desmond Bergin,D,HFD/PRO/MIL,25.106,10,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.69
1275,Alex Gudbranson,D,TOR,23.034,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1276,Brandon McNally,LW,CHI,25.602,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1277,Neil Manning,D,RFD,27.346,3,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.33
1278,Marcus Crawford,D,GR,21.487,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1279,Jared Wilson,D,BAK,24.053,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280,Nolan De Jong,D,SJ/COL/STK,23.393,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1281,Johno May,F,SD,24.915,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1282,Alex Breton,D,BEL,21.197,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1283,John McCarron,RW,STK,26.415,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1284,Bobby Sanguinetti,D,CHA,30.544,12,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.58
1285,Michael Doherty,LW,PRO/BNG,25.068,4,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.75
1286,Marcus Hogstrom,D,STK,29.49,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1287,Daniel Fick,D,WBS,27.07,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1288,Josh MacDonald,F,LV,24.474,8,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.62
1289,John McFarland,RW,BAK,26.454,9,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.56
1290,Steven Iacobellis,F,SA,25.071,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1291,Zach Tolkinen,D,HFD,28.8,8,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1292,Christian Djoos,D,HER,24.11,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1293,J.C. Campagna,F,CHI,25.263,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
